Medio,Programa,Autor,Canal
Telefórmula,Telefórmula,Manuel Feregrino,Tv Nacional
Telefórmula,Telefórmula,Maru Rojas,Tv Nacional
Telefórmula,Telefórmula,Michelle Rivera,Tv Nacional
Telefórmula,Telefórmula,Oscar Zuñiga,Tv Nacional
Telefórmula,Telefórmula,Por La Mañana Con Feregrino,Tv Nacional
Telefórmula,Telefórmula,Redacción,Tv Nacional
Telefórmula,Telefórmula,Wendy Salazar,Tv Nacional
Telefórmula,Telefórmula,Yoselin Sánchez,Tv Nacional
Telefórmula,Telefórmula,José Cárdenas,Tv Nacional
Telefórmula,Telefórmula Noticias,Joaquín López-Dóriga,Tv Nacional
Telefórmula,Telefórnula,Juan Becerra,Tv Nacional
Televisa,Despierta,Abraham Reza,Tv Nacional
Televisa,Despierta,Danielle Dithurbide,Tv Nacional
Televisa,Despierta,Eduardo Salazar,Tv Nacional
Televisa,Despierta,Enrique Campos,Tv Nacional
Televisa,Despierta,Ivan Reza,Tv Nacional
Televisa,En Punto,Enrique Acevedo,Tv Nacional
Televisa,En Punto,José Luis Arévalo,Tv Nacional
Televisa,En Punto,Redacción,Tv Nacional
Televisa,Las Noticias,Bertha Alfaro,Tv Nacional
Televisa,Las Noticias,Carlos Hurtado,Tv Nacional
Televisa,Las Noticias,Corresponsales,Tv Nacional
Televisa,Televisa,Carlos Hurtado,Tv Nacional
Televisa,Televisa,Erick Camacho,Tv Nacional
Televisa,Televisa,N+,Tv Nacional
Televisa,Televisa,Televisa,Tv Nacional
TV Azteca,Azteca Noticias,Otoniel Martínez,Tv Nacional
TV Azteca,Hechos,Christian Lara,Tv Nacional
TV Azteca,Hechos,Hechos,Tv Nacional
TV Azteca,Hechos Am,Francisco Reyes,Tv Nacional
TV Azteca,Hechos Am,Hechos Am,Tv Nacional
TV Azteca,Hechos Am,Leo Arriaga,Tv Nacional
TV Azteca,Hechos Am,Vaitiare Mateos,Tv Nacional
TV Azteca,Hechos Am,Viridiana Hernández,Tv Nacional
TV Azteca,Hechos Meridiano,Alejandro Villalvazo,Tv Nacional
TV Azteca,Hechos Meridiano,Lucy Bravo,Tv Nacional
TV Azteca,Hechos Noche,Javier Alatorre,Tv Nacional
TV Azteca,Hechos Noche,Leonardo Herrera,Tv Nacional
TV Azteca,Hechos Ruiz Lara,Hechos Ruiz Lara,Tv Nacional
TV Azteca,Hechos Ruíz- Lara,Hechos Ruíz- Lara,Tv Nacional
TV Azteca,Hechos Ruíz-Lara,Hechos Ruíz-Lara,Tv Nacional
TV Azteca,Hechos Ruíz-Lara,Roberto Ruiz,Tv Nacional
TV Azteca,Primera Línea,Anna Lu González,Tv Nacional
TV Azteca,Primera Línea,Redacción,Tv Nacional
TV Azteca,Tv Azteca,Carolina Rocha,Tv Nacional
TV Azteca,Tv Azteca,Jorge Zarza,Tv Nacional
TV Cable hidalguense Canal 6,Contigo Noticias,Aldo Falcón,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Daniel Martínez,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,David Cárdenas,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Edson Vélez,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Erick Iván Martínez,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Erik Nava,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Itzel Ortega,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,José Luis Lima,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Juan Carlos Santamaría,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Katia Moreno,Tv Local
TV Cable hidalguense Canal 6,Contigo Noticias,Lesly Arreola,Tv Local
Ultra 102.9 FM,Transmisión Especial,Redacción,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Abner Yáñez,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Daniel Martínez,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Erick Iván Martínez,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Iza Hernández,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Jessenia Romero,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Juan Carlos Santamaría,Radio Local
Ultra 102.9 FM,Ultra Noticias1,Radioescucha,Radio Local
Uno TV,Uno Tv,Redacción,Tv Nacional
XALTOKA 104.7 FM,Contenido Gubernamental,Víctor Hugo Espinosa,Radio Local
XHCY 90.9 La que manda en Huejutla,Transmisión Especial,Redacción,Radio Local
Ximai 103.5 FM,Contenido Gubernamental,Juan Carlos Peña,Radio Local
Ximai 103.5 FM,Transmisión Especial,Redacción,Radio Local
Imagen Radio,Primera Emisión,Pascal Beltrán del Río,Radio Nacional
Imagen Radio,Darío Celis,Radio Nacional
Imagen Radio,Tercera Emisión,Esteban Arce,Radio Nacional
Imagen Radio,Segunda Emisión,Francisco Zea,Radio Nacional
Imagen Radio,Yuriria Sierra,Radio Nacional
